的	的话	的确
耶	耶稣	耶和华
颈	颈部	颈椎
颈	颈部	颈椎
勋	勋章	勋爵
嗤	嗤笑	嗤之以鼻
剂	剂量	剂子
瓷	瓷器	瓷砖
坡	坡度	坡顶
肢	肢体	肢解
哮	哮喘	哮喘病
鞠	鞠躬	鞠一躬
芷	芷江	芷江侗族自治县
甄	甄别	甄选
纱	纱布	纱窗
滩	滩涂	滩头
狰	狰狞	狰狞面目
炉	炉子	炉火纯青
闫	闫相闯	闫利军
秃	秃顶	秃头
煮	煮饭	煮熟
煌	煌煌	
罐	罐子	罐头
扛	扛着	扛起
扛	扛着	扛起
寺	寺庙	寺院
壶	壶里	壶盖
铮	铮铮	铮亮
嬉	嬉笑	嬉皮笑脸
雇	雇佣兵	雇主
囊	囊中羞涩	囊括
拢	拢共	拢络
奢	奢侈	奢华
弓	弓箭	弓着腰
勺	勺子	勺儿
绷	绷带	绷紧
钉	钉子	钉子户
侦	侦探	侦查
绽	绽放	绽开
壳	壳子	壳里
昌	昌盛	昌明
壳	壳子	壳里
枕	枕头	枕边
勃	勃然大怒	勃发
樊	樊城	樊笼
衍	衍生	衍化
庙	庙里	庙宇
琼	琼斯	琼瑶
蛛	蛛丝马迹	蛛网
逢	逢年过节	逢凶化吉
淘	淘汰	淘宝
搏	搏斗	搏击
诊	诊所	诊断
汹	汹涌	汹涌澎湃
瘫	瘫坐	瘫痪
巡	巡逻	巡视
嗽	嗽叭声	嗽口
菊	菊花	菊花茶
宵	宵夜	宵小
捅	捅破	捅进
噜	噜苏	噜嗦
碑	碑文	碑志
牲	牲口	牲畜
戈	戈壁	戈壁滩
卜	卜卦	卜算
宰	宰割	宰相
喧	喧闹	喧嚣
攀	攀爬	攀谈
棺	棺材	棺木
沁	沁人心脾	沁入
寓	寓意	寓言
仆	仆人	仆从
搓	搓手	搓衣板
俞	俞岱岩	俞飞鸿
俞	俞岱岩	俞飞鸿
崽	崽子	崽儿
耿	耿耿于怀	耿直
邢	邢台	邢先生
诞	诞生	诞辰
粮	粮食	粮票
芬	芬芳	芬达
喻	喻为	喻示
膛	膛线	
岗	岗位	岗亭
巍	巍峨	巍巍
届	届时	届满
匹	匹配	匹敌
咆	咆哮	咆哮声
衷	衷心	衷肠
凰	凰凤	
拇	拇指	拇趾
晒	晒太阳	晒干
磁	磁性	磁场
抿	抿嘴	抿着
贩	贩卖	贩子
循	循环	循声
湘	湘竹	湘西
扒	扒拉	扒开
扒	扒拉	扒开
隙	隙间	隙缝
旷	旷课	旷野
擎	擎天	擎天柱
押	押金	押送
栽	栽倒	栽培
堡	堡垒	堡主
堡	堡垒	堡主
削	削弱	削瘦
捣	捣乱	捣鼓
丸	丸子	丸药
篷	篷布	篷子
嗷	嗷嗷	嗷嗷叫
尧	尧舜	尧山
垫	垫底	垫子
畜	畜生	畜牲
畜	畜生	畜牲
怯	怯怯	怯生生
骤	骤然	骤变
揭	揭开	揭穿
僻	僻静	僻静处
奴	奴隶	奴才
鸦	鸦雀无声	鸦片
汁	汁液	汁水
蓄	蓄力	蓄势待发
傍	傍晚	傍边
蔽	蔽日	蔽体
鹅	鹅蛋脸	鹅卵石
僧	僧人	僧袍
蕴	蕴含	蕴含着
蹬	蹬蹬	蹬腿
憨	憨厚	憨笑
驴	驴子	驴肝肺
轿	轿车	轿子
楞	楞住	楞楞
琢	琢磨	琢磨不透
琢	琢磨	琢磨不透
酱	酱油	酱紫
沧	沧桑	沧海
虾	虾米	虾子
虾	虾米	虾子
蚂	蚂蚁	蚂蚱
孕	孕妇	孕育
怂	怂恿	
虞	虞美人	虞城
览	览胜	
茅	茅山	茅屋
侍	侍卫	侍者
弘	弘扬	弘一
寡	寡妇	寡人
麒	麒麟	麒麟山
丘	丘陵	丘比特
廉	廉价	廉洁
梭	梭子	梭哈
梨	梨花	梨花带雨
薪	薪水	薪资
拧	拧开	拧成
骆	骆驼	骆驼比
揪	揪住	揪心
裕	裕华	裕兴
骇	骇人	骇然
昭	昭示	昭君
孽	孽障	孽畜
翡	翡翠	翡翠台
弦	弦月	弦乐
舰	舰队	舰长
狡	狡黠	狡猾
梧	梧桐	梧桐树
溅	溅出	溅射
妃	妃子	妃嫔
综	综合	综艺节目
蓬	蓬松	蓬乱
岭	岭南	岭上
燥	燥热	燥动
债	债务	债主
滔	滔滔不绝	滔天
鳞	鳞片	鳞次栉比
咪	咪咪	咪咪叫
棚	棚子	棚户区
灼	灼热	灼烧
祁	祁阳	祁连
唠	唠叨	唠嗑
戳	戳穿	戳破
搅	搅拌	搅动
苟	苟延残喘	苟活
荆	荆棘	荆轲
帖	帖子	帖服
醋	醋意	醋溜
诈	诈骗	诈尸
狄	狄仁杰	狄更斯
芯	芯片	芯子
庸	庸俗	庸医
坟	坟墓	坟地
搁	搁置	搁浅
恳	恳求	恳请
笛	笛子	笛声
泳	泳池	泳衣
愚	愚蠢	愚人节
驻	驻足	驻扎
禹	禹城	禹县
擅	擅长	擅自
喳	喳喳	
喳	喳喳	
囔	囔囔	囔着
猩	猩红	猩猩
昧	昧着良心	昧良心
厮	厮杀	厮混
拘	拘谨	拘束
侄	侄子	侄女
劣	劣质	劣势
粥	粥饭	粥少僧多
嗖	嗖嗖	
邮	邮件	邮箱
兆	兆头	兆赫
泊	泊车	泊位
泊	泊车	泊位
蹈	蹈海	蹈火
辨	辨别	辨认
芝	芝麻	芝加哥
膜	膜拜	膜法
寥	寥寥	寥寥无几
倦	倦意	倦容
浆	浆糊	浆果
谐	谐音	谐波
芦	芦苇	芦苇荡
棉	棉花	棉袄
焕	焕发	焕然一新
缚	缚鸡之力	缚住
拂	拂面	拂尘
佐	佐野	佐藤
弧	弧度	弧线
陨	陨石	陨落
嚓	嚓嚓	
嚓	嚓嚓	
渺	渺小	渺茫
瞟	瞟向	瞟一眼
茗	茗茶	
蒸	蒸发	蒸笼
黯	黯然	黯淡
蔑	蔑视	蔑称
渔	渔船	渔民
督	督促	督察
衅	衅端	衅发萧墙
敞	敞开	敞篷
飙	飙车	飙升
茬	茬子	茬口
掠	掠过	掠夺
酬	酬劳	酬金
嗅	嗅到	嗅觉
厘	厘米	厘清
烛	烛光	烛火
啃	啃着	啃食
煎	煎熬	煎饼
粘	粘着	粘稠
粘	粘着	粘稠
忐	忐忑	忐忑不安
渗	渗出	渗透
唧	唧唧	唧唧喳喳
蝴	蝴蝶	蝴蝶结
呛	呛得	呛到
捞	捞起	捞鱼
殴	殴打	殴斗
携	携带	携手
哨	哨声	哨兵
梳	梳着	梳理
罕	罕见	罕有
淫	淫笑	淫威
橙	橙子	橙色
唬	唬住	唬人
唬	唬住	唬人
阮	阮士中	阮小七
舱	舱门	舱内
蚊	蚊子	蚊虫
漓	漓江	漓水
葱	葱花	葱葱
枉	枉费	枉死
蛊	蛊惑	蛊毒
塘	塘边	塘村
箫	箫声	箫管
焉	焉知非福	焉知
嚼	嚼舌根	嚼舌头
骷	骷髅	骷髅头
搐	搐动	搐搦
儒	儒雅	儒家
瘾	瘾君子	瘾头
呕	呕吐	呕吐物
跺	跺脚	跺跺脚
倚	倚靠在	倚天
胶	胶带	胶囊
揣	揣着	揣测
栗	栗子	栗色
杉	杉木	杉树
仲	仲夏	仲裁
妨	妨碍	妨害
茉	茉莉	茉莉花
钓	钓鱼	钓到
唾	唾沫	唾液
衰	衰老	衰竭
衰	衰老	衰竭
缸	缸子	缸盖
靓	靓丽	靓女
靓	靓丽	靓女
凸	凸起	凸显
倪	倪匡	倪云林
爵	爵士	爵位
翁	翁美玲	翁婿
茵	茵茵	茵陈
遵	遵守	遵循
牺	牺牲	牺牲品
嗒	嗒然若丧	
嗒	嗒然若丧	
逊	逊色	逊于
斧	斧头	斧子
淌	淌出	淌水
喇	喇叭	喇叭声
姻	姻缘	姻亲
蝎	蝎子	蝎虎
扳	扳机	扳指
竭	竭力	竭尽全力
摧	摧毁	摧残
蜘	蜘蛛	蜘蛛网
梵	梵天	梵音
峻	峻岭	峻峭
稻	稻草	稻田
胀	胀痛	胀大
敛	敛财	敛容
禽	禽兽	禽兽不如
逻	逻辑	逻辑思维
陡	陡然	陡峭
滨	滨海	滨江
攒	攒钱	攒动
攒	攒钱	攒动
淳	淳朴	淳于
焚	焚烧	焚身
拱	拱手	拱门
熏	熏陶	熏得
窍	窍门	窍取
绯	绯红	绯闻
翩	翩翩	翩翩起舞
茄	茄子	茄汁
茄	茄子	茄汁
熄	熄灭	熄灯
湾	湾里	湾子
浇	浇水	浇灌
雁	雁门关	雁城
贡	贡献	贡品
拯	拯救	拯民
擒	擒拿	擒住
喔	喔喔叫	
喔	喔喔叫	
兀	兀自	兀然
剥	剥夺	剥离
痞	痞子	痞里痞气
绰	绰号	绰绰有余
卸	卸下	卸载
狭	狭小	狭窄
钧	钧道	钧窑
睹	睹物思人	睹物思情
钞	钞票	钞本
杖	杖刑	
逮	逮到	逮住
敷	敷衍	敷衍了事
吭	吭声	吭哧
吭	吭声	吭哧
笙	笙歌	笙箫
瀚	瀚海	
祷	祷告	祷文
蔬	蔬菜	蔬菜水果
贸	贸然	贸易
顽	顽皮	顽强
奎	奎特	奎斯
翎	翎儿	翎子
哧	哧溜	哧哧
弊	弊端	弊病
揽	揽住	揽入
咸	咸菜	咸鱼
棱	棱角分明	棱角
恬	恬静	恬不知耻
帕	帕萨特	帕子
琉	琉璃	琉璃瓦
拭	拭去	拭目以待
穹	穹顶	穹苍
裴	裴元绍	裴多菲
蟒	蟒蛇	蟒袍
饥	饥饿	饥饿感
绘	绘画	绘制
钩	钩子	钩钩
婕	婕妤	
犀	犀利	犀牛
珂	珂罗版	
昔	昔日	昔年
潭	潭水	潭边
凹	凹凸	凹陷
擂	擂台	擂鼓
侮	侮辱	侮辱性
扁	扁担	扁平
扁	扁担	扁平
岔	岔开	岔路
馒	馒头	馒头山
涕	涕泪	涕零
絮	絮絮叨叨	絮叨
惶	惶恐	惶恐不安
贞	贞操	贞元
芙	芙蓉	芙蓉王
沃	沃尔玛	沃土
趋	趋势	趋于
懦	懦弱	懦夫
腮	腮帮子	腮帮
埃	埃及	埃菲尔铁塔
株	株式会社	株洲
贷	贷款	贷出
煤	煤矿	煤炭
葫	葫芦	葫芦娃
杭	杭州	杭城
盐	盐水	盐城
履	履行	履历
禅	禅房	禅院
禅	禅房	禅院
寨	寨子	寨主
毙	毙命	毙掉
搀	搀扶	搀扶着
肘	肘子	肘部
袜	袜子	袜业
淹	淹没	淹死
甫	甫士	甫志高
恤	恤衫	恤孤
陋	陋习	陋室
叭	叭叭	叭儿狗
佟	佟佳氏	佟湘玉
掰	掰开	掰断
瘪	瘪三	瘪嘴
蝇	蝇头	蝇头小利
砂	砂锅	砂石
廷	廷尉	廷长
琅	琅琅	琅嬛福地
译	译文	译名
髓	髓海	髓质
碟	碟片	碟子
嗔	嗔怪	嗔怒
艘	艘次	
倔	倔强	倔强地
踉	踉跄	踉踉跄跄
晌	晌午	
涡	涡轮	涡流
涡	涡轮	涡流
脯	脯氨酸	
脯	脯氨酸	
屉	屉子	
窥	窥视	窥探
绊	绊倒	绊子
辫	辫子	辫儿
撩	撩起	撩人
桀	桀桀	桀骜不驯
叙	叙述	叙旧
拓	拓展	拓宽
蜀	蜀山	蜀黍
詹	詹姆斯	詹姆士
菩	菩萨	菩提
逞	逞强	逞能
澄	澄清	澄澈
澄	澄清	澄澈
堕	堕落	堕入
坎	坎坷	坎儿
蚀	蚀刻	蚀本
疙	疙瘩	疙疙瘩瘩
晖	晖映	
悸	悸动	悸動
酿	酿成	酿造
妩	妩媚	妩媚动人
芽	芽儿	芽苞
盔	盔甲	盔帽
椒	椒盐	椒料
盲	盲目	盲人
骏	骏马	骏业
嘈	嘈杂	嘈杂声
绅	绅士	绅士风度
乍	乍一看	乍现
役	役使	役所
撸	撸子	
沦	沦落	沦为
涟	涟漪	涟涟
铠	铠甲	铠装
垮	垮掉	垮塌
勿	勿扰	勿近
赴	赴约	赴汤蹈火
乳	乳白色	乳臭未干
捆	捆绑	捆住
蜡	蜡烛	蜡黄
娥	娥眉	娥眉月
蜡	蜡烛	蜡黄
眩	眩晕	眩目
蔚	蔚蓝	蔚蓝色
蔚	蔚蓝	蔚蓝色
豁	豁出去	豁然开朗
乙	乙方	乙肝
暧	暧昧	暧昧关系
娴	娴熟	娴静
盏	盏灯	
颅	颅内	颅骨
伺	伺候	伺机
伺	伺候	伺机
龚	龚光杰	龚自珍
弗	弗兰克	弗拉德
黝	黝黑	黝暗
莽	莽撞	莽汉
崎	崎岖	崎岖不平
颓	颓废	颓然
暇	暇接	暇时
兢	兢兢业业	兢兢战战
绒	绒毛	绒布
漩	漩涡	漩流
肋	肋骨	肋间
肝	肝脏	肝癌
遁	遁入	遁走
戮	戮破	戮力
骁	骁勇	骁勇善战
荫	荫凉	荫庇
渠	渠道	渠水
嗜	嗜血	嗜好
懊	懊恼	懊悔
毯	毯子	
剔	剔除	剔透
酥	酥麻	酥软
炽	炽热	炽烈
践	践踏	践行
杠	杠杠	杠杆
浊	浊气	浊酒
窄	窄小	窄窄的
钮	钮祜禄	钮扣
桩	桩子	桩头
赠	赠送	赠与
诛	诛杀	诛灭
哽	哽咽	哽住
坪	坪上	坪地
枭	枭雄	枭首
蒲	蒲团	蒲扇
攘	攘攘	攘外必先安内
艇	艇长	艇员
朔	朔风	朔州
悚	悚然	悚惧
铐	铐起来	
绣	绣花	绣花针
汰	汰去	汰衣裳
诅	诅咒	诅骂
匀	匀称	匀速
惺	惺忪	惺惺相惜
溺	溺爱	溺水
螺	螺旋	螺丝
瘸	瘸子	瘸腿
遣	遣散	遣送
祟	祟高	
瓣	瓣膜	瓣膜病
碾	碾压	碾碎
杏	杏子	杏眼
棠	棠棣	棠梨
蟹	蟹黄	蟹肉
坊	坊间	坊肆
蛤	蛤蟆	蛤蟆镜
蛤	蛤蟆	蛤蟆镜
刁	刁难	刁蛮
慑	慑服	
脂	脂肪	脂粉
脊	脊背	脊梁
痹	痹症	痹证
霎	霎时	霎时间
挫	挫折	挫败
偌	偌大	
漪	漪澜	漪涟
霓	霓虹灯	霓虹
囚	囚犯	囚禁
葡	葡萄	葡萄酒
湛	湛蓝	湛卢
窟	窟窿	窟窿眼
掘	掘墓	掘进
褚	褚万里	褚时健
褚	褚万里	褚时健
仑	仑背	
辟	辟邪	辟谷
辟	辟邪	辟谷
蝉	蝉鸣	蝉儿
黛	黛安娜	黛绿
陀	陀螺	陀罗尼
棘	棘手	棘突
窒	窒息	窒息而死
饺	饺子	饺子馆
蔼	蔼蔼	蔼然
悻	悻悻	悻悻然
矫	矫情	矫健
癫	癫狂	癫痫
睫	睫毛	睫毛膏
徘	徘徊	徘徊者
惬	惬意	惬当
谣	谣言	谣传
浏	浏览	浏览器
栩	栩栩如生	栩栩
咏	咏春拳	咏春
檀	檀木	檀香
馈	馈赠	馈线
谑	谑浪笑敖	谑而不虐
膏	膏药	膏药旗
夭	夭折	夭寿
轴	轴承	轴心
蝠	蝠王	
薯	薯片	薯条
桦	桦林	桦树
沮	沮丧	沮洳
纲	纲要	纲领
亢	亢奋	亢龙有悔
萎	萎靡	萎缩
疫	疫苗	疫情
蜷	蜷缩	蜷曲
炯	炯炯有神	炯炯
巢	巢穴	巢里
尉	尉迟	尉迟恭
尉	尉迟	尉迟恭
苑	苑里	苑仙葩
霏	霏霏	霏霏细雨
侈	侈靡	侈谈
朽	朽木	朽木不可雕
亩	亩产	亩产量
氧	氧气	氧化
菱	菱形	菱角
禾	禾苗	禾田
聋	聋子	聋哑人
啼	啼哭	啼笑皆非
捶	捶打	捶背
讥	讥讽	讥笑
蹙	蹙眉	蹙额
眷	眷顾	眷恋
懈	懈怠	懈惰
炙	炙热	炙烤
捋	捋起	捋胳膊
崛	崛起	崛地而起
蹄	蹄子	蹄印
惭	惭愧	惭色
喋	喋喋不休	喋血
喋	喋喋不休	喋血
噼	噼里啪啦	噼啪
漾	漾濞	
癌	癌症	癌细胞
俄	俄罗斯	俄语
捐	捐款	捐赠
镶	镶嵌	镶着
敖	敖广	敖包
绞	绞尽脑汁	绞痛
猿	猿猴	猿人
镰	镰刀	镰刀状
鲨	鲨鱼	鲨鱼肉
憬	憬悟	憬然有悟
怠	怠慢	怠惰
憔	憔悴	
兹	兹曼	兹将
兹	兹曼	兹将
纽	纽约	纽扣
函	函数	函授
犊	犊子	犊鼻
晦	晦气	晦涩
悯	悯惜	
铲	铲子	铲除
惋	惋惜	惋叹
泠	泠然	
馅	馅饼	馅儿
挚	挚友	挚爱
熠	熠熠生辉	熠熠
掺	掺杂	掺和
谜	谜团	谜底
褪	褪去	褪色
烙	烙印	烙饼
缭	缭绕	缭乱
棕	棕色	棕熊
税	税收	税务局
肾	肾虚	肾上腺素
臀	臀部	臀围
晏	晏子	晏婴
柠	柠檬	柠檬水
菁	菁菁	菁华
蓦	蓦然	蓦地
檐	檐下	檐角
铅	铅笔	铅球
铅	铅笔	铅球
铛	铛铛	
铛	铛铛	
罡	罡风	
炭	炭火	炭炉
裆	裆部	
褂	褂子	
蝙	蝙蝠	蝙蝠侠
稽	稽首	稽查
稽	稽首	稽查
葵	葵花宝典	葵花
蹑	蹑手蹑脚	蹑着
滥	滥用	滥竽充数
隶	隶属于	隶属
澳	澳门	澳洲
撂	撂倒	撂下
粪	粪便	粪坑
鲍	鲍鱼	鲍威尔
浦	浦东	浦江
刊	刊登	刊物
锈	锈迹斑斑	锈迹
蛙	蛙跳	蛙鸣
黏	黏在	黏糊糊
憧	憧憬	憧憬未来
遂	遂即	遂愿
徽	徽章	徽州
翟	翟志刚	翟乃社
翟	翟志刚	翟乃社
菇	菇类	
廓	廓落	廓尔喀
秩	秩序	秩序井然
顷	顷刻间	顷刻
鸽	鸽子	鸽子笼
怅	怅然若失	怅然
崭	崭新	崭露头角
吆	吆喝	吆喝声
钦	钦佩	钦点
奄	奄奄一息	奄奄
慵	慵懒	慵懶
觅	觅食	觅得
竿	竿子	竿头
噎	噎着	噎住
拌	拌嘴	拌面
殖	殖民	殖民地
殖	殖民	殖民地
幺	幺幺小丑	
诵	诵读	诵经
拙	拙劣	拙作
抠	抠门	抠出来
汝	汝矣岛	汝阳
瀑	瀑布	瀑布群
瀑	瀑布	瀑布群
亨	亨利	亨特
腊	腊月	腊肉
腊	腊月	腊肉
眈	眈眈	
甸	甸子	
歆	歆羡	歆羨
咣	咣当	咣噹
跆	跆拳道	跆拳
惦	惦记	惦记着
讳	讳莫如深	讳疾忌医
迸	迸发	迸发出
锡	锡安	锡林
沛	沛县	
署	署名	署长
衔	衔接	衔尾
淇	淇澳	淇县
婵	婵娟	
秉	秉承	秉性
匠	匠人	匠师
羲	羲皇上人	
绮	绮罗	绮丽
恕	恕罪	恕我直言
纨	纨绔	纨绔子弟
嵌	嵌入	嵌进
嵌	嵌入	嵌进
糙	糙米	糙米饭
靡	靡靡之音	靡丽
弈	弈棋	弈具
藉	藉此	藉口
韧	韧性	韧带
蛟	蛟龙	蛟河
烽	烽火	烽火台
鲤	鲤鱼	鲤鱼打挺
灶	灶台	灶房
峥	峥嵘	峥嵘岁月
渍	渍水	渍染
筐	筐子	筐头子
橘	橘子	橘黄色
柿	柿子	柿子树
玖	玖艘	
匿	匿名	匿名信
茧	茧子	茧绸
璨	璨美	
莺	莺莺燕燕	莺燕
癞	癞蛤蟆	癞蛤蟆想吃天鹅肉
瑕	瑕疵	瑕不掩瑜
莞	莞尔一笑	莞尔
莞	莞尔一笑	莞尔
缉	缉毒	缉拿
缉	缉毒	缉拿
炖	炖肉	炖鸡
笃	笃定	笃笃
歧	歧视	歧义
厄	厄运	厄尔尼诺
膨	膨胀	膨胀起来
矜	矜持	矜贵
矜	矜持	矜贵
矜	矜持	矜贵
驼	驼背	驼子
幢	幢幢	
燎	燎原	燎原之势
幢	幢幢	
朕	朕兆	
绚	绚丽	绚烂
澎	澎湃	澎湖湾
侥	侥幸	侥幸心理
侥	侥幸	侥幸心理
呱	呱呱	呱呱叫
淤	淤血	淤泥
伶	伶俐	伶牙俐齿
挟	挟持	挟着
娄	娄子	娄底
趾	趾高气扬	趾高气昂
彰	彰显	彰扬
镯	镯子	
襟	襟怀	襟翼
吨	吨位	吨重
梢	梢头	梢子
薰	薰衣草	薰香
伽	伽马	伽蓝
伽	伽马	伽蓝
伽	伽马	伽蓝
蓓	蓓蕾	蓓尔
邋	邋遢	邋里邋遢
睦	睦邻	睦邻友好
橡	橡皮	橡胶
磋	磋商	磋磨
惟	惟一	惟妙惟肖
挎	挎包	挎着
墩	墩子	墩布
哩	哩哩啦啦	哩哩啰啰
羁	羁绊	羁押
缪	缪荃孙	缪云台
槐	槐树	槐花
噪	噪音	噪杂
旱	旱烟	旱魃
恺	恺撒	恺撒大帝
簇	簇拥	簇拥着
铸	铸造	铸就
昵	昵称	
斐	斐然	斐济
疆	疆域	疆土
聆	聆听	聆讯
璀	璀璨	璀璨夺目
窦	窦建德	窦娥冤
殆	殆尽	殆及
矢	矢口否认	矢量
掂	掂量	掂量掂量
咂	咂嘴	咂咂嘴
腼	腼腆	腼颜事敌
屡	屡屡	屡次
唏	唏嘘	唏噓
赎	赎罪	赎金
掷	掷地有声	掷骰子
沓	沓至	沓杂
沓	沓至	沓杂
旨	旨意	旨在
獠	獠牙	
哐	哐当	哐啷
券	券商	券门
券	券商	券门
驭	驭者	驭手
偎	偎依	偎着
荧	荧光	荧幕
峙	峙立	
峙	峙立	
沥	沥青	沥沥
嗝	嗝儿	
俨	俨然	俨如
踱	踱步	踱去
炕	炕头	炕沿
矣	矣哉	
缴	缴费	缴纳
缴	缴费	缴纳
傀	傀儡	傀儡政权
颂	颂歌	颂扬
洼	洼地	洼里
馋	馋猫	馋嘴
栈	栈道	栈桥
迦	迦南	迦太基
喏	喏喏连声	
喏	喏喏连声	
寅	寅时	寅虎
戟	戟指怒目	
曳	曳引机	曳光弹
靳	靳云鹏	靳羽西
窘	窘迫	窘境
禄	禄星	禄位
梗	梗着	梗死
殃	殃及池鱼	殃及
飒	飒飒	飒爽
蚕	蚕食	蚕豆
谍	谍报	谍报人员
匣	匣子	匣钵
蒜	蒜苗	蒜头
敦	敦实	敦厚
诫	诫命	诫律
辽	辽阔	辽宁
缀	缀补	缀连
蹊	蹊跷	蹊径
蹊	蹊跷	蹊径
靴	靴子	靴尖
霹	霹雳	霹雳舞
骸	骸骨	
磅	磅礴	磅秤
磅	磅礴	磅秤
蹿	蹿出	蹿到
鳄	鳄鱼	鳄鱼皮
蝼	蝼蚁	蝼蛄
嵩	嵩山	嵩山少林寺
醺	醺醺	醺醺然
鸢	鸢尾	鸢尾花
俭	俭朴	俭以养德
圳	圳沟	
臻	臻于完善	臻于极致
钝	钝器	钝响
弩	弩箭	弩弓
芹	芹菜	芹菜汤
洽	洽谈	洽谈会
灸	灸法	灸术
斋	斋饭	斋戒
钳	钳子	钳制
壤	壤土	壤塘
黠	黠戛斯	黠慧
嚏	嚏喷	
堤	堤坝	堤上
冈	冈山县	冈田
榴	榴莲	榴弹
倘	倘若	倘使
榆	榆木	榆树
倘	倘若	倘使
恙	恙虫	
瓢	瓢泼大雨	瓢泼
泻	泻药	泻火
羿	羿射九日	
蕉	蕉叶	蕉岭
骰	骰子	
呻	呻吟	呻吟声
乒	乒乓球	乒乒乓乓
鞘	鞘翅	鞘翅目
鞘	鞘翅	鞘翅目
曝	曝光	曝晒
曝	曝光	曝晒
蔷	蔷薇	蔷薇花
隧	隧道	隧道口
庇	庇护	庇佑
惆	惆怅	惆然
弑	弑父	弑君
淮	淮南	淮安
蘑	蘑菇	蘑菇云
厥	厥阴	厥功甚伟
坝	坝子	坝上
肴	肴馔	
褐	褐色	褐红色
跋	跋扈	跋涉
哔	哔哩啪啦	哔哔声
肮	肮脏	肮脏交易
菡	菡萏	菡子
猖	猖狂	猖獗
簸	簸箕	簸箩
卒	卒子	卒业
卒	卒子	卒业
蠕	蠕动	蠕虫
痘	痘痘	痘子
裔	裔胄	
迭	迭起	迭出
坨	坨子	
乓	乓乓	
忿	忿忿	忿忿不平
韬	韬光养晦	韬略
陛	陛下	
颁	颁发	颁布
缅	缅怀	缅甸
轶	轶事	轶闻
拷	拷问	拷贝
绫	绫罗绸缎	绫罗
琥	琥珀	琥珀色
仨	仨月	仨俩
嫦	嫦娥	嫦娥奔月
寇	寇仇	寇振海
渝	渝州	渝水
雍	雍容华贵	雍容
戎	戎装	戎马
绸	绸缎	绸布
癖	癖好	癖性
嗲	嗲声嗲气	嗲地
煽	煽情	煽动
冀	冀州	冀北
茸	茸毛	茸茸
瞌	瞌睡	瞌睡虫
荀	荀彧	荀子
虔	虔诚	虔诚地
苛	苛刻	苛责
禀	禀报	禀告
咄	咄咄逼人	咄咄
荤	荤菜	荤腥
楷	楷模	楷书
楷	楷模	楷书
拗	拗不过	拗口
拗	拗不过	拗口
枣	枣树	枣子
刨	刨根问底	刨出来
萦	萦绕	萦绕在
刨	刨根问底	刨出来
锥	锥子	锥心
倭	倭寇	倭奴
袅	袅袅	袅娜
皎	皎洁	皎白
耕	耕种	耕地
螃	螃蟹	螃蟹壳
岑	岑溪	岑寂
憎	憎恨	憎恶
缥	缥缈	缥渺
酝	酝酿	酝藉
珀	珀尔	珀斯
扉	扉页	扉画
糯	糯米	糯米饭
煦	煦和	煦煦
淬	淬炼	淬火
鳖	鳖甲	鳖肉
跷	跷课	跷跷板
睽	睽睽	睽违
鸳	鸳鸯	鸳鸯浴
叩	叩首	叩头
仕	仕途	仕女图
晾	晾晒	晾干
靶	靶子	靶场
窑	窑洞	窑子
溶	溶洞	溶解
坷	坷垃	
狩	狩猎	狩猎者
鬓	鬓角	鬓发
嬴	嬴政	
曙	曙光	曙色
猝	猝不及防	猝死
丙	丙级	丙辰
赘	赘肉	赘述
剖	剖析	剖开
吝	吝啬	吝惜
秽	秽物	秽语
辗	辗转	辗转反侧
玺	玺印	
蚩	蚩尤	蚩尤寨
芜	芜湖	芜杂
奚	奚落	奚啸伯
贬	贬低	贬值
芮	芮乃伟	芮城县
筛	筛选	筛子
讷	讷讷	讷河
赦	赦免	赦令
牟	牟利	牟取
剁	剁成	剁碎
褶	褶皱	褶子
谄	谄媚	谄笑
菌	菌类	菌子
姣	姣好	姣美
簌	簌簌	簌地
旬	旬阳	旬邑
驯	驯服	驯养
驹	驹子	
瞿	瞿秋白	瞿式耜
皂	皂荚	皂白
耷	耷拉	
牡	牡丹	牡丹花
撵	撵走	撵出去
诽	诽谤	诽谤罪
粟	粟子	粟米
眺	眺望	眺望塔
垒	垒砌	垒墙
寰	寰宇	寰球
锄	锄头	锄草
槛	槛车	槛墙
戛	戛然而止	戛然
槛	槛车	槛墙
咫	咫尺	咫尺天涯
紊	紊乱	紊乱如麻
褥	褥子	褥单
撮	撮合	撮箕
栅	栅栏	栅栏门
撮	撮合	撮箕
栅	栅栏	栅栏门
咨	咨询	咨询台
宪	宪法	宪宗
阑	阑珊	阑尾炎
斟	斟酌	斟满
芭	芭比娃娃	芭蕉
粤	粤语	粤省
撬	撬开	撬棍
佼	佼佼者	佼佼
辍	辍学	辍学生
龌	龌龊	龌龊事
踝	踝关节	踝骨
飕	飕飕	
淅	淅淅沥沥	淅沥沥
咀	咀嚼	咀咒
咀	咀嚼	咀咒
瞩	瞩目	瞩望
闸	闸门	闸口
荼	荼毒	荼毒生灵
杵	杵臼	
冶	冶金	冶炼
榕	榕树	榕城
泯	泯灭	泯没
滕	滕王阁	滕文公
裘	裘千尺	裘皮
彷	彷徨	彷佛
彷	彷徨	彷佛
锵	锵锵	
昼	昼夜	昼伏夜出
椎	椎骨	椎体
椎	椎骨	椎体
砌	砌成	砌墙
枢	枢纽	枢机
甥	甥舅	甥儿
慷	慷慨	慷慨激昂
雏	雏形	雏鹰
翱	翱翔	翱翔天空
